index,Month,Day,Year,Ship Name,Ship Type,Tonnage,Latitiude,Longitude,Assessment,Original Location,Month Index
34,2,28,1944,AKIURA MARU,Transport,6803,0.1,132.8833333,Sunk,"00-06N, 132-53E",27
35,1,8,1945,DAIGO MARU,Cargo,5244,34.46666667,122.65,Sunk,"34-28N, 122-39E",38
36,3,19,1945,HAKOZAKI MARU,Transport,10413,33.15,122.1333333,Sunk,"33-09N, 122-08E",40
37,3,26,1945,SHINTO MARU NO 1,Cargo,880,35.23333333,123.7333333,Sunk,"35-14N, 123-44E",40
38,4,29,1944,TAKEGAWA MARU,Cargo,1930,19.43333333,118.75,Sunk,"19-26N, 118-45E",29
39,4,30,1944,NITTATSU MARU,Cargo,2859,19.18333333,119.1666667,Sunk,"19-11N, 119-10E",29
40,5,4,1944,KINREI MARU,,5947,20.96666667,117.9833333,Sunk,"20-58N, 117-59E",30
41,9,9,1944,TOKIWASAN MARU,Cargo,1804,28.88333333,137.7,Sunk,"28-53N, 137-42E",34
42,9,9,1944,SHORYU MARU,Cargo,1916,28.88333333,137.7,Sunk,"28-53N, 137-42E",34
43,9,19,1944,TOSEI MARU NO 2,Tanker,507,24.93333333,122.2333333,Sunk,"24-56N, 122-14E",34
44,11,23,1944,SAKAE MARU,Cargo,2878,24.2,122.8833333,Sunk,"24-12N, 122-53E",36
45,11,23,1944,AMAKUSA MARU,Transport,2340,24.4,122.75,Sunk,"24-24N, 122-45E",36
46,3,28,1944,FUKUSEI MARU,Cargo,2219,24.4,131.1833333,Sunk,"24-24N, 131-11E",28
47,5,31,1944,KOTO MARU,Cargo,1053,47.86666667,151.0333333,Sunk,"47-52N, 151-02E",30
48,5,31,1944,MADRAS MARU,Transport,3802,48.35,151.3166667,Sunk,"48-21N, 151-19E",30
49,6,11,1944,TOTEN MARU,Cargo,3823,46.96666667,143.8333333,Sunk,"46-58N, 143-50E",31
50,6,11,1944,CHIHAYA MARU,Cargo,1161,46.96666667,143.8333333,Sunk,"46-58N, 143-50E",31
51,6,13,1944,TAKASHIMA MARU,Transport,5633,50.78333333,151.3333333,Sunk,"50-47N, 151-20E",31
52,8,31,1944,OKUNI MARU,Cargo,5633,21.23333333,121.3666667,Sunk,"21-14N, 121-22E",33
53,9,16,1944,AZUSA,Tanker,11177,19.3,116.4333333,Sunk,"19-18N, 116-26E",34
54,9,16,1944,UNYO,Escort Aircraft Carrier,20000,19.3,116.4333333,Sunk,"19-18N, 116-26E",34
55,11,10,1944,GOKOKU MARU,Ex-Light Cruiser,10438,33.38333333,129.05,Sunk,"33-23N, 129-03E",36
56,11,12,1944,NARUO MARU,Cargo,4823,31.48333333,125.3166667,Sunk,"31-29N, 125-19E",36
57,1,8,1945,SHINYO MARU,Cargo,5892,24.51666667,120.4666667,Sunk,"24-31N, 120-28E",38
58,1,8,1945,ANYO MARU,Transport,9256,24.9,120.4333333,Sunk,"24-54N, 120-26E",38
59,1,8,1945,SANYO MARU,Tanker,2854,24.9,120.4333333,Sunk,"24-54N, 120-26E",38
60,1,23,1945,TAIKYO MARU,Cargo,5244,27.06666667,120.45,Sunk,"27-04N, 120-27E",38
61,7,5,1945,SAPPORO MARU NO 11,Cargo,2820,46.06666667,142.2333333,Sunk,"46-04N, 142-14E",44
62,7,18,1945,COAST DEF VESSEL NO 112,Frigate,800,46.05,142.2666667,Sunk,"46-03N, 142-16E",44
63,8,5,1944,MIYAKO MARU,Transport,970,27.6,128.9,Sunk,"27-36N, 128-54E",33
64,8,9,1944,YAGI MARU,Cargo,2,27.86666667,128.8166667,Sunk,"27-52N, 128-49E",33
65,8,9,1944,BOKO MARU,Cargo,2333,27.86666667,128.8166667,Sunk,"27-52N, 128-49E",33
66,9,25,1944,BUSHU MARU,Cargo,1222,29.83333333,130.1,Sunk,"29-50N, 130-06E",34
67,11,14,1944,SUGIYAMA MARU,Cargo,4379,15.23333333,112.2166667,Sunk,"15-14N, 112-13E",36
68,11,14,1944,MISAKI MARU,Cargo,4422,15.23333333,112.2166667,Sunk,"15-14N, 112-13E",36
69,11,2,1944,KURAMASAN MARU,Cargo,1995,-4,118.3333333,Sunk,"4-30S, 118-20E",36
70,11,8,1944,SHIMOTSU MARU,Tanker,2854,14.01666667,117.2833333,Sunk,"14-01N, 117-17E",36
71,12,25,1944,JUNPO MARU,Cargo,4277,1,108.3333333,Sunk,"1-10N, 108-20E",37
72,6,25,1944,YAMAMIYA MARU,Cargo,6440,3.1,127.2333333,Sunk,"3-36N, 127-14E",31
73,9,8,1944,YANAGIGAWA MARU,Cargo,2813,8.066666667,121.7833333,Sunk,"8-14N, 121-47E",34
74,3,5,1945,RYOEI MARU,Tanker,10016,16.76666667,108.6833333,Sunk,"16-46N, 108-41E",40
75,1,20,1944,HIDAKA MARU,Cargo,5486,31.46666667,134.8666667,Sunk,"31-28N, 134-52E",26
76,6,22,1944,NAGARAGAWA MARU,Transport,990,34.58333333,137.9333333,Sunk,"34-35N, 137-56E",31
77,8,23,1944,MINESWEEPER NO 22,Minesweeper,492,8.15,134.6333333,Sunk,"8-09N, 134-38E",33
78,2,9,1945,I 41,Submarine,2212,18.83333333,121.6666667,Sunk,"18-50N, 121-40E",39
79,2,11,1945,RO 112,Submarine,525,18.88333333,121.8333333,Sunk,"18-53N, 121-50E",39
80,2,12,1945,RO 113,Submarine,525,19.16666667,121.3833333,Sunk,"19-10N, 121-23E",39
81,3,4,1945,PALEMBANG MARU,Tanker,5236,12.86666667,109.5,Sunk,"12-52N, 109-30E",40
82,3,21,1945,KAINAN MARU,Ex-Submarine Chaser,524,11.91666667,109.3,Sunk,"11-55N, 109-18E",40
83,5,13,1945,YOSEI MARU,Tanker,2500,-6.016666667,111.3166667,Sunk,"6-31S, 111-19E",42
84,7,16,1945,KARI,Motor Torpedo Boat,595,-5.133333333,115.8833333,Sunk,"5-48S, 115-53E",44
85,2,22,1945,NICHIYOKU MARU,Tanker,1945,11.46666667,109.1,Sunk,"11-28N, 109-06E",39
86,10,13,1944,SHINSHU MARU,Cargo,4182,11.86666667,109.3333333,Sunk,"11-52N, 109-20E",35
87,10,27,1944,NIPPO MARU,Tanker,10528,7.15,116.6666667,Sunk,"7-09N, 116-40E",35
88,1,27,1945,COASTAL MINESWEEPER NO 102,Coastal Minesweeper,174,-8.116666667,115.65,Sunk,"8-37S, 115-39E",38
89,2,7,1945,COAST DEF VESSEL NO 53,Frigate,800,12.06666667,109.3666667,Sunk,"12-04N, 109-22E",39
90,11,22,1944,TRANSPORT NO 151,Landing Craft (LST),1000,11.36666667,119.1166667,Sunk,"11-22N, 119-07E",36
91,1,6,1945,NICHIEI MARU,Tanker,10020,6.116666667,102.95,Sunk,"6-57N, 102-57E",38
92,2,2,1945,COAST DEF VESSEL NO 144,Frigate,800,4.033333333,104.5,Sunk,"4-32N, 104-30E",39
93,4,6,1945,MINESWEEPER NO 12,Minesweeper,630,-8.05,119.2333333,Sunk,"8-13S, 119-14E",41
94,5,26,1945,KOTOBUKI MARU NO 7,Cargo,991,33.3,129.3333333,Sunk,"33-18N, 129-20E",42
95,6,4,1945,TAIU MARU,Cargo,2220,38.53333333,124.75,Sunk,"38-32N, 124-45E",43
96,8,5,1945,KORI MARU,Cargo,1091,38.85,121.65,Sunk,"38-51N, 121-39E",45
97,1,16,1944,KAIKA MARU,Cargo,2087,4.05,148.6833333,Sunk,"4-03N, 148-41E",26
98,11,1,1944,UNKAI MARU NO 12,Cargo,2745,12.9,120.1666667,Sunk,"12-54N, 120-10E",36
99,1,24,1945,SHIGURE,Destroyer,1580,6,103.8,Sunk,"6-00N, 103-48E",38
100,12,14,1944,COAST DEF VESSEL NO 28,Frigate,800,15.76666667,119.75,Sunk,"15-46N, 119-45E",37
101,12,23,1944,KENZUI MARU,Cargo,4156,16.83333333,120.3,Sunk,"16-50N, 120-18E",37
102,2,26,1945,AMATO MARU,Tanker,10238,11.95,109.3,Sunk,"11-57N, 109-18E",39
103,3,20,1945,YAMAKUNI MARU,Cargo,500,11.28333333,108.9166667,Sunk,"11-17N, 108-55E",40
104,3,20,1945,NANSHIN MARU NO 21,Tanker,834,11.28333333,108.9166667,Sunk,"11-17N, 108-55E",40
105,3,20,1945,HOSEN MARU,Cargo,1039,11.28333333,108.9166667,Sunk,"11-17N, 108-55E",40
106,5,30,1945,HOKOKU MARU,Cargo,520,-4.15,114.2666667,Sunk,"4-09S, 114-16E",42
107,6,27,1945,SUBMARINE CHASER NO 2,Submarine Chaser,300,-7.083333333,116,Sunk,"7-25S, 116-00E",43
108,9,26,1943,KASASAGI,Motor Torpedo Boat,595,-5,121.95,Sunk,"5-50S, 121-57E",22
109,9,28,1943,AKASHI MARU,Cargo,3227,-6.016666667,126,Sunk,"6-11S, 126-00E",22
110,11,8,1943,KYOKUEI MARU,Tanker,10570,16.73333333,116.3666667,Sunk,"16-44N, 116-22E",24
111,11,18,1943,SANAYE,Old Destroyer,820,4.033333333,122.1166667,Sunk,"4-52N, 122-07E",24
112,12,30,1943,ICHIYU MARU,Tanker,5061,-2.083333333,109.1666667,Sunk,"2-45S, 109-10E",25
113,1,4,1944,HAKKO MARU,Tanker,6046,7,108.4166667,Sunk,"7-10N, 108-25E",26
114,3,4,1944,OMINESAN MARU,Tanker,10536,5.033333333,109.15,Sunk,"5-32N, 109-09E",28
115,6,16,1944,NANSHIN MARU,Transport,1422,2.133333333,118.15,Sunk,"2-28N, 118-09E",31
116,6,21,1944,KANAN MARU,Cargo,3312,-4.066666667,116.75,Sunk,"4-04S, 116-45E",31
117,8,19,1944,HAYASUI,Tanker,6500,17.56666667,119.4,Sunk,"17-034N, 119-24E",33
118,7,9,1945,SUBMARINE CHASER NO 50,Submarine Chaser,100,2.05,105.05,Sunk,"2-13N, 105-03E",44
119,7,14,1945,I 351,Submarine,2650,4,110,Sunk,"4-30N, 110-00E",44
120,4,27,1944,YUBARI,Light Cruiser,3500,5,132.2666667,Sunk,"5-20N, 132-16E",29
121,5,1,1944,ASOSAN MARU,Cargo,8812,7.116666667,129.9333333,Sunk,"7-07N, 129-56E",30
122,5,20,1944,MIYAURA MARU,Cargo,1856,2.066666667,128,Sunk,"2-14N, 128-00E",30
123,8,7,1944,SANJU MARU,Cargo,4642,6.066666667,124.3666667,Sunk,"6-04N, 124-22E",33
124,8,13,1944,SUBMARINE CHASER NO 12,Submarine Chaser,300,6.116666667,126.15,Sunk,"6-17N, 126-09E",33
125,8,13,1944,KOJUN MARU,Cargo,1931,6.116666667,126.15,Sunk,"6-17N, 126-09E",33
126,10,18,1944,ARABIA MARU,Transport,9480,14.1,119.6666667,Sunk,"14-06N, 119-40E",35
127,10,18,1944,CHINZEI MARU,Cargo,1999,14.1,119.6666667,Sunk,"14-06N, 119-40E",35
128,10,18,1944,HAKUSHIKA MARU,Transport,8150,14.1,119.6666667,Sunk,"14-06N, 119-40E",35
129,3,28,1945,HONAN MARU,Tanker,5542,12.65,109.45,Sunk,"12-39N, 109-27E",40
130,1,31,1945,ENKI MARU,Cargo,6968,14.91666667,109.0166667,Sunk,"14-55N, 109-01E",38
131,9,27,1943,KASHIMA MARU,Transport,9908,10.23333333,109.75,Sunk,"10-14N, 109-45E",22
132,10,10,1943,TEIBI MARU,Transport,10086,14.73333333,110.3166667,Sunk,"14-44N, 110-19E",23
133,10,10,1943,ISUZUGAWA,Cargo,4212,14.73333333,110.3166667,Sunk,"14-44N, 110-19E",23
134,11,29,1943,SUEZ MARU,Cargo,4646,6.033333333,116.5833333,Sunk,"6-22N, 116-35E",24
135,12,1,1943,NICHIRYO MARU,Transport,2721,1.016666667,120.85,Sunk,"1-31N, 120-51E",25
136,4,26,1944,TOKIWA MARU,Transport,806,6.033333333,125.7833333,Sunk,"6-12N, 125-47E",29
137,5,14,1944,INAZUMA,Destroyer,1950,5.133333333,119.6333333,Sunk,"5-08N, 119-38E",30
138,7,30,1944,KOKUYO MARU,Tanker,10026,6.05,119.9,Sunk,"6-03N, 119-54E",32
139,9,28,1944,ANJO MARU,Tanker,2068,13.26666667,120.1333333,Sunk,"13-16N, 120-08E",34
140,10,14,1944,FUSHIMI MARU,Cargo,2542,16.2,119.75,Sunk,"16-12N, 119-45E",35
141,6,13,1945,OSHIKAYAMA MARU,Cargo,6892,38.5,136.9666667,Sunk,"38-30N, 136-58E",43
142,6,19,1945,KONZAN MARU,Transport,5488,37.21666667,137.3,Sunk,"37-13N, 137-18E",43
143,9,25,1943,KIRISHIMA MARU,Transport,8120,9.066666667,111.9333333,Sunk,"9-44N, 111-56E",22
144,11,26,1943,OGURASAN MARU,Tanker,5069,12.8,109.5666667,Sunk,"12-48N, 109-34E",24
145,11,26,1943,TAINAN MARU,Cargo,5407,13.03333333,109.4666667,Sunk,"13-02N, 109-28E",24
146,11,27,1943,VAN VOLLENHOVEN,Cargo,691,13.01666667,109.5,Sunk,"13-01N, 109-30E",24
147,11,28,1943,SYDNEY MARU,Transport,5425,12.76666667,109.7,Sunk,"12-46N, 109-42E",24
148,11,28,1943,TONAN MARU,Tanker,9866,12.76666667,109.7,Sunk,"12-46N, 109-42E",24
149,1,17,1944,SHOYU MARU,Cargo,4408,18,118.6166667,Sunk,"18N, 118-37E",26
150,3,10,1944,TSUKIKAWA MARU,Cargo,4470,-1,128.2833333,Sunk,"1-30S, 128-17E",28
151,3,24,1944,SHINKYO MARU,Cargo,5139,5.116666667,125.6333333,Sunk,"5-27N, 125-38E",28
152,3,24,1944,BENGAL MARU,Cargo,5399,5.116666667,125.6333333,Sunk,"5-27N, 125-38E",28
153,8,22,1944,TSUSHIMA MARU,Transport,6754,29.53333333,129.5166667,Sunk,"29-32N, 129-31E",33
154,2,17,1945,COAST DEF VESSEL NO 56,Frigate,750,33.88333333,139.7166667,Sunk,"33-53N, 139-43E",39
155,5,1,1945,CHOWA MARU,Transport,2719,41.1,144.4666667,Sunk,"41-06N, 144-28E",42
156,5,8,1945,DAITO MARU NO 3,Cargo,880,39.61666667,142.1166667,Sunk,"39-37N, 142-07E",42
157,6,11,1945,SHINYO MARU NO 3,Transport,1898,39.38333333,128.9833333,Sunk,"39-23N, 128-59E",43
158,6,13,1945,AKIURA MARU,Cargo,887,39.21666667,128.1166667,Sunk,"39-13N, 128-07E",43
159,6,16,1944,YUKI MARU,Cargo,5704,2.15,128.6666667,Sunk,"2-19N, 128-40E",31
160,4,29,1945,TEISHU MARU,Ex-Submarine Tender,1230,-4.016666667,111.2833333,Sunk,"4-11S, 111-17E",41
161,5,7,1944,ROSSBACK,Tanker,5894,33.23333333,134.6666667,Sunk,"33-14N, 134-40E",30
162,7,20,1945,KYOEI MARU NO 3,Tanker,1189,8.133333333,103.6666667,Sunk,"8-08N, 103-40E",44
163,6,19,1945,ZAOSAN MARU,Cargo,2631,50.65,154.6333333,Sunk,"50-39N, 154-38E",43
164,1,4,1944,TAMON MARU NO 8,Cargo,2705,11.08333333,109.1666667,Sunk,"11-05N, 109-10E",26
165,5,26,1944,SANYO MARU,Ex-Seaplane Tender,8360,2.133333333,124.3166667,Sunk,"2-48N, 124-19E",30
166,7,17,1944,MAYA MARU,Transport,3145,7,122.05,Sunk,"7-40N, 122-03E",32
167,10,1,1944,ZUIYO MARU,Tanker,7385,16.25,119.7166667,Sunk,"16-15N, 119-43E",35
168,10,1,1944,KYOKUHO MARU,Tanker,10059,16.25,119.7166667,Sunk,"16-15N, 119-43E",35
169,10,6,1944,YAMAMIZU MARU NO 2,Cargo,5154,17.51666667,120.35,Sunk,"17-31N, 120-21E",35
170,10,7,1944,SHINYO MARU NO 8,Cargo,1959,17.83333333,119.6166667,Sunk,"17-50N, 119-37E",35
171,11,11,1943,KUNITAMA MARO,Cargo,3127,-3.133333333,127.6333333,Sunk,"3-08S, 127-38E",24
172,6,19,1944,SHOKAKU,Aircraft Carrier,30000,11.83333333,137.95,Sunk,"11-50N, 137-57E",31
173,11,25,1944,SHIMOTSUKI,Destroyer,2300,2.016666667,107.3333333,Sunk,"2-21N, 107-20E",36
174,1,5,1945,SHUNSEN MARU,Cargo,971,-5,112.2666667,Sunk,"5-00S, 112-16E",38
175,1,5,1945,KANKO MARU,Ex-Net Tender,909,-5,112.2666667,Sunk,"5-00S, 112-16E",38
176,5,23,1944,TAIJUN MARU,Cargo,2825,2.133333333,128.1333333,Sunk,"2-38N, 128-08E",30
177,8,5,1944,TSURUMI,Tanker,6500,5,125.7,Sunk,"5-50N, 125-42E",33
178,4,29,1945,TAISHU MARU,Cargo,6925,39.25,141.9666667,Sunk,"39-15N, 141-58E",41
179,5,4,1945,SHINPEN MARU,Cargo,884,39.46666667,142.0666667,Sunk,"39-28N, 142-04E",42
180,5,13,1945,SHINNAN MARU,Cargo,1025,39.11666667,141.95,Sunk,"39-07N, 141-57E",42
181,5,21,1945,MINESWEEPER NO 34,Minesweeper,492,-6.083333333,116.0166667,Sunk,"6-15S, 116-01E",42
182,7,13,1944,TAISHI MMARU,Cargo,2800,27.38333333,140.55,Sunk,"27-23N, 140-33E",32
183,7,18,1944,UNKAI MARU NO 10,x-Gunboat,855,29.2,139.1666667,Sunk,"29-12N, 139-10E",32
184,7,18,1944,NISSHU MARU,Cargo,7785,28.71666667,139.4,Sunk,"28-43N, 139-24E",32
185,1,14,1945,YURISHIMA,Coastal Minelayer,720,5.016666667,103.2666667,Sunk,"5-51N, 103-16E",38
186,6,8,1945,NINSHIN MARU NO 22,Tanker,834,8.1,105.6166667,Sunk,"8-56N, 105-37E",43
187,6,8,1945,HAKUSA,Landing Craft,3841,8.1,105.6166667,Sunk,"8-56N, 105-37E",43
188,2,23,1944,OGURA MARU NO 3,Tanker,7350,3.05,129.2833333,Sunk,"3-53N, 129-17E",27
189,2,27,1944,TAISOKU MARU,Cargo,2473,1.133333333,127.5333333,Sunk,"1-48N, 127-32E",27
190,5,10,1944,KARUKAYA,Old Destroyer,820,15.63333333,119.4166667,Sunk,"15-38N, 119-25E",30
191,5,10,1944,SHOHEI MARU,Cargo,7256,15.63333333,119.4166667,Sunk,"15-38N, 119-25E",30
192,8,3,1944,SEIKO MARU,Ex-Net Tender,708,-1.083333333,126.2333333,Sunk,"1-45S, 126-14E",33
193,8,14,1944,TRANSPORT NO 129,Landing Craft,1000,-4.116666667,126.7666667,Sunk,"4-17S, 126-46E",33
194,10,5,1944,TATSUSHIRO MARU,Cargo,6886,13.01666667,120.25,Sunk,"13-01N, 120-15E",35
195,4,25,1945,MINESWEEPER NO 41,Ninesweeper,492,25.88333333,121.1333333,Sunk,"25-53N, 121-08E",41
196,11,15,1943,KYOKKO MARU,Transport,6783,14.88333333,119.9,Sunk,"14-53N, 119-54E",24
197,1,26,1944,BUSHOH MARU,Ex-Gunboat,2552,8.116666667,109.2,Sunk,"8-27N, 109-12E",26
198,4,25,1944,KASHIWA MARU,Ex-Net Tender,976,7.15,116.8,Sunk,"7-09N, 116-48E",29
199,5,6,1944,NISSHIN MARU,Tanker,16801,7.116666667,116.85,Sunk,"7-17N, 116-51E",30
200,7,26,1944,AKI MARU,Transport,11409,18.46666667,117.9833333,Sunk,"18-28N, 117-59E",32
201,7,28,1944,HAKURASAN MARU,Transport,6650,16.3,119.7333333,Sunk,"16-18N, 119-44E",32
202,6,9,1945,HOKUTO MARU,Cargo,2215,40.9,139.8,Sunk,"40-54N, 139-48E",43
203,6,10,1945,DAIKI MARU,Cargo,2217,40.73333333,139.8,Sunk,"40-44N, 139-48E",43
204,6,11,1945,HAKUSAN MARU,Cargo,2211,40.56666667,139.85,Sunk,"40-34N, 139-51E",43
205,8,7,1944,NAGARA,Light Cruiser,5700,32.15,129.8833333,Sunk,"32-09N, 129-53E",33
206,8,14,1944,DAIGEN MARU NO 7,Ex-Gunboat,1289,37.41666667,125.2,Sunk,"37-25N, 125-12E",33
207,8,17,1944,SANSHO MARU,Cargo,6862,35.63333333,126.1666667,Sunk,"35-38N, 126-10E",33
208,10,9,1944,SHINKI MARU,Cargo,2211,32.13333333,129.85,Sunk,"32-08N, 129-51E",35
209,10,23,1944,BYAKURAN MARU,Cargo,887,35.65,126.0833333,Sunk,"35-39N, 126-05E",35
210,10,24,1944,MIKAGE MARU,Cargo,2761,33,125.8166667,Sunk,"33-00N, 125-49E",35
211,7,27,1944,KYOEI MARU NO 2,Tanker,1157,5.083333333,121.7166667,Sunk,"5-25N, 121-43E",32
212,10,14,1944,NITTETSU MARU,Cargo,5993,6.083333333,115.9166667,Sunk,"6-05N, 115-55E",35
213,10,14,1944,EIKYO MARU,Cargo,6948,6.083333333,115.9166667,Sunk,"6-05N, 115-55E",35
214,10,23,1944,MAYA,Heavy Cruiser,12200,9.15,117.3333333,Sunk,"9-29N, 117-20E",35
215,12,28,1944,NOZAKI,Ex-Supply Ship,1000,12.65,109.5,Sunk,"12-39N, 109-30E",37
216,6,10,1945,HAKUYO MARU,Cargo,1391,47.41666667,149.0666667,Sunk,"47-25N, 149-04E",43
217,3,30,1944,FUJIKAWA MARU,Cargo,2829,1.1,133,Sunk,"1-56N, 133-00E",28
218,6,29,1944,TSUGARU,Minelayer,4400,2.15,127.95,Sunk,"2-19N, 127-57E",31
219,10,23,1944,ATAGO,Heavy Cruiser,12200,9.066666667,117.1833333,Sunk,"9-24N, 117-11E",35
220,5,2,1942,MIZUHO,Seaplane Tender,9000,34.43333333,138.2333333,Sunk,"34-26N, 138-14E",6
221,5,9,1942,UNKNOWN,Cargo,4000,33.8,136.1333333,Probably Sunk,"33-48N, 136-08E",6
222,5,13,1942,SHONAN MARU,Cargo,5264,34.65,139.1666667,Sunk,"34-39N, 139-10E",6
223,5,25,1942,KITAKA MARU,Cargo,2380,34.96666667,140.0666667,Sunk,"34-58N, 140-04E",6
224,10,8,1942,HAGUE MARU,Transport,5641,34.1,136.3666667,Sunk,"34-06N, 136-22E",11
225,10,9,1942,HACHIMANZAN MARU,Cargo,2461,33.45,136.0166667,Sunk,"33-27N, 136-01E",11
226,10,20,1942,RYUNAN MARU,Cargo,5106,34.13333333,136.7666667,Sunk,"34-08N, 136-46E",11
227,4,9,1943,OYAMA MARU,Cargo,3809,0.533333333,150.0833333,Sunk,"00-32N, 150-05E",17
228,4,18,1943,NISSHUN MARU,Cargo,6380,1.083333333,148.4,Sunk,"1-55N, 148-24E",17
229,6,17,1943,MYOKO MARU,Transport,5087,-2.05,153.7333333,Sunk,"2-03S, 153-44E",19
230,9,8,1943,HAKUTETSU MARU NO 13,Cargo,1334,-2.066666667,141.6,Sunk,"2-44S, 141-36E",22
231,11,17,1943,HIE MARU,Ex-Supply Ship,11621,1.133333333,148.4,Sunk,"1-48N, 148-24E",24
232,10,24,1944,SHIKISAN MARU,Transport,4725,20.45,118.5166667,Sunk,"20-27N, 118-31E",35
233,10,26,1944,TAISHO MARU,Cargo,6886,19.35,120.8333333,Sunk,"19-21N, 120-50E",35
234,10,26,1944,TAIHAKU MARU,Cargo,6886,19.35,120.8333333,Sunk,"19-21N, 120-50E",35
235,10,14,1942,TEISON MARU,Transport,70007,25.36666667,121.25,Sunk,"25-22N, 1221-15E",11
236,10,20,1942,YAMAFUJI MARU,Cargo,5359,24.43333333,120.4333333,Sunk,"24-26N, 120-26E",11
237,10,20,1942,AFRICA MARU,Cargo,9475,24.43333333,120.4333333,Sunk,"24-26N, 120-26E",11
238,5,27,1943,KOCHI MARU,Cargo,2910,8.016666667,134.0333333,Sunk,"8-41N, 134-02E",18
239,6,8,1943,KAHOKU MARU,Ex-Gunboat,3350,9.116666667,134.5166667,Sunk,"9-07N, 134-31E",19
240,6,11,1943,GENOA MARU,Cargo,6785,7.1,134.2833333,Sunk,"7-36N, 134-17E",19
241,6,30,1943,RYUZAN MARU,Cargo,4720,-6.016666667,111.4333333,Sunk,"6-31S, 111-26E",19
242,8,3,1943,KAISHO MARU,Transport,6070,-5.133333333,111.8666667,Sunk,"5-18S, 111-52E",21
243,8,19,1943,SUBMARINE CHASER NO 109,Submarine Chaser,200,-3.016666667,125.8333333,Sunk,"3-01S, 125-50E",21
